date,home_team,away_team,winner,first_shooter,home_shot_first,home_team_won,year,is_recent,prior_matchup_count
1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia,1,1,1976,0,0
1979-05-22,Argentina,Netherlands,Argentina,Argentina,1,1,1979,0,0
1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy,1,0,1980,0,0
1982-07-08,Germany,France,Germany,France,0,1,1982,0,0
1984-06-24,Denmark,Spain,Spain,Denmark,1,0,1984,0,0
1986-06-21,Brazil,France,France,Brazil,1,0,1986,0,0
1986-06-21,Mexico,Germany,Germany,Germany,0,0,1986,0,0
1986-06-22,Spain,Belgium,Belgium,Spain,1,0,1986,0,0
1988-03-31,Germany,Sweden,Sweden,Sweden,0,0,1988,0,0
1988-12-18,South Korea,Saudi Arabia,Saudi Arabia,South Korea,1,0,1988,0,0
1990-02-04,United States,Colombia,Colombia,Colombia,0,0,1990,0,0
1990-02-20,Colombia,Russia,Colombia,Colombia,1,1,1990,0,0
1990-06-25,Republic of Ireland,Romania,Republic of Ireland,Romania,0,1,1990,0,0
1990-06-30,Yugoslavia,Argentina,Argentina,Argentina,0,0,1990,0,0
1990-07-03,Italy,Argentina,Argentina,Italy,1,0,1990,0,0
1990-07-04,Germany,England,Germany,England,0,1,1990,0,0
1991-06-16,Italy,Russia,Italy,Russia,0,1,1991,0,0
1991-07-07,United States,Honduras,United States,United States,1,1,1991,0,0
1992-01-23,Cameroon,Ivory Coast,Ivory Coast,Ivory Coast,0,0,1992,0,0
1992-01-26,Ghana,Ivory Coast,Ivory Coast,Ivory Coast,0,0,1992,0,0
1992-06-22,Netherlands,Denmark,Denmark,Netherlands,1,0,1992,0,0
1993-02-24,Argentina,Denmark,Argentina,Argentina,1,1,1993,0,0
1993-06-26,Colombia,Uruguay,Colombia,Colombia,1,1,1993,0,0
1993-06-27,Brazil,Argentina,Argentina,Brazil,1,0,1993,0,0
1993-07-01,Colombia,Argentina,Argentina,Colombia,1,0,1993,0,0
1993-08-15,Australia,Canada,Australia,Australia,1,1,1993,0,0
1994-04-06,Nigeria,Ivory Coast,Nigeria,Nigeria,1,1,1994,0,0
1994-07-05,Mexico,Bulgaria,Bulgaria,Mexico,1,0,1994,0,0
1994-07-10,Romania,Sweden,Sweden,Sweden,0,0,1994,0,0
1994-07-17,Brazil,Italy,Brazil,Italy,0,1,1994,0,0
1995-01-10,Denmark,Mexico,Denmark,Denmark,1,1,1995,0,0
1995-01-13,Mexico,Nigeria,Mexico,Nigeria,0,1,1995,0,0
1995-07-16,Paraguay,Colombia,Colombia,Colombia,0,0,1995,0,0
1995-07-17,United States,Mexico,United States,United States,1,1,1995,0,0
1995-07-17,Brazil,Argentina,Brazil,Brazil,1,1,1995,0,1
1995-07-23,Uruguay,Brazil,Uruguay,Uruguay,1,1,1995,0,0
1996-01-28,Gabon,Tunisia,Tunisia,Tunisia,0,0,1996,0,0
1996-06-22,England,Spain,England,England,1,1,1996,0,0
1996-06-22,France,Netherlands,France,Netherlands,0,1,1996,0,0
1996-06-26,France,Czech Republic,Czech Republic,France,1,0,1996,0,0
1996-06-26,England,Germany,Germany,England,1,0,1996,0,1
1996-12-19,Iran,Saudi Arabia,Saudi Arabia,Iran,1,0,1996,0,0
1996-12-21,Iran,Kuwait,Iran,Kuwait,0,1,1996,0,0
1996-12-21,United Arab Emirates,Saudi Arabia,Saudi Arabia,Saudi Arabia,0,0,1996,0,0
1997-06-22,Ecuador,Mexico,Mexico,Ecuador,1,0,1997,0,0
1998-02-21,Burkina Faso,Tunisia,Burkina Faso,Burkina Faso,1,1,1998,0,0
1998-02-21,Ivory Coast,Egypt,Egypt,Ivory Coast,1,0,1998,0,0
1998-02-27,Burkina Faso,DR Congo,DR Congo,DR Congo,0,0,1998,0,0
1998-05-29,Belgium,England,Belgium,Belgium,1,1,1998,0,0
